ompt_callback_cancel	Cancel
ompt_callback_cancel_t	CallbackCancelFn
ompt_callback_control_tool	ControlTool
ompt_callback_control_tool_t	CallbackControlToolFn
ompt_callback_device_finalize	DeviceFinalize
ompt_callback_device_finalize_t	CallbackDeviceFinalizeFn
ompt_callback_device_initialize	DeviceInitialize
ompt_callback_device_initialize_t	CallbackDeviceInitializeFn
ompt_callback_device_load	DeviceLoad
ompt_callback_device_load_t	CallbackDeviceLoadFn
ompt_callback_device_unload	DeviceUnload
ompt_callback_device_unload_t	CallbackDeviceUnloadFn
ompt_callback_flush	Flush
ompt_callback_flush_t	CallbackFlushFn
ompt_callback_idle	Idle
ompt_callback_idle_t	CallbackIdleFn
ompt_callback_implicit_task	ImplicitTask
ompt_callback_implicit_task_t	CallbackImplicitTaskFn
ompt_callback_lock_destroy	LockDestroy
ompt_callback_lock_init	LockInit
ompt_callback_master	Master
ompt_callback_master_t	CallbackMasterFn
ompt_callback_mutex_acquire	MutexAcquire
ompt_callback_mutex_acquired	MutexAcquired
ompt_callback_mutex_acquire_t	CallbackMutexAcquireFn
ompt_callback_mutex_released	MutexReleased
ompt_callback_mutex_t	CallbackMutexFn
ompt_callback_nest_lock	NestLock
ompt_callback_nest_lock_t	CallbackNestLockFn
ompt_callback_parallel_begin	ParallelBegin
ompt_callback_parallel_begin_t	CallbackParallelBeginFn
ompt_callback_parallel_end	ParallelEnd
ompt_callback_parallel_end_t	CallbackParallelEndFn
ompt_callbacks_e	Callbacks
ompt_callbacks_t	Callbacks
ompt_callback_sync_region	SyncRegion
ompt_callback_sync_region_t	CallbackSyncRegionFn
ompt_callback_sync_region_wait	SyncRegionWait
ompt_callback_t	CallbackFn
ompt_callback_target	Target
ompt_callback_target_data_op	TargetDataOp
ompt_callback_target_data_op_t	CallbackTargetDataOpFn
ompt_callback_target_map	TargetMap
ompt_callback_target_map_t	CallbackTargetMapFn
ompt_callback_target_submit	TargetSubmit
ompt_callback_target_submit_t	CallbackTargetSubmitFn
ompt_callback_target_t	CallbackTargetFn
ompt_callback_task_create	TaskCreate
ompt_callback_task_create_t	CallbackTaskCreateFn
ompt_callback_task_dependence	TaskDependence
ompt_callback_task_dependences	TaskDependences
ompt_callback_task_dependences_t	CallbackTaskDependencesFn
ompt_callback_task_dependence_t	CallbackTaskDependenceFn
ompt_callback_task_schedule	TaskSchedule
ompt_callback_task_schedule_t	CallbackTaskScheduleFn
ompt_callback_thread_begin	ThreadBegin
ompt_callback_thread_begin_t	CallbackThreadBeginFn
ompt_callback_thread_end	ThreadEnd
ompt_callback_thread_end_t	CallbackThreadEndFn
ompt_callback_work	Work
ompt_callback_work_t	CallbackWorkFn
ompt_cancel_activated	Activated
ompt_cancel_detected	Detected
ompt_cancel_discarded_task	DiscardedTask
ompt_cancel_do	Do
ompt_cancel_flag_t	CancelFlag
ompt_cancel_parallel	Parallel
ompt_cancel_sections	Sections
ompt_cancel_taskgroup	Taskgroup
ompt_data_none	DataNone
ompt_data_t	Data
ompt_device_t	Device
ompt_enumerate_mutex_impls_t	EnumerateMutexImpls
ompt_enumerate_states_t	EnumerateStates
ompt_finalize_t	FinalizeFn
ompt_fn_lookup	FnLookup
ompt_function_lookup_t	FunctionLookupFn
ompt_get_callback_t	GetCallback
ompt_get_num_devices_t	GetNumDevices
ompt_get_num_places_t	GetNumPlaces
ompt_get_num_procs_t	GetNumProcs
ompt_get_parallel_info_t	GetParallelInfo
ompt_get_partition_place_nums_t	GetPartitionPlaceNums
ompt_get_place_num_t	GetPlaceNum
ompt_get_place_proc_ids_t	GetPlaceProcIds
ompt_get_proc_id_t	GetProcId
ompt_get_state_t	GetState
ompt_get_target_info_t	GetTargetInfo
ompt_get_task_info_t	GetTaskInfo
ompt_get_thread_data_t	GetThreadData
ompt_get_unique_id_t	GetUniqueId
ompt_id_none	ID_NONE
ompt_id_t	Id
ompt_initialize_t	InitializeFn
ompt_interface_fn_t	InterfaceFn
ompt_invoker_program	InvokerProgram
ompt_invoker_runtime	InvokerRuntime
ompt_invoker_t	Invoker
ompt_mutex	Mutex
ompt_mutex_atomic	Atomic
ompt_mutex_critical	Critical
ompt_mutex_impl_unknown	ImplUnknown
ompt_mutex_kind_t	MutexKind
ompt_mutex_lock	Lock
ompt_mutex_nest_lock	NestLock
ompt_mutex_ordered	Ordered
ompt_scope_begin	Begin
ompt_scope_end	End
ompt_scope_endpoint_t	ScopeEndpoint
ompt_set_always	Always
ompt_set_callback_t	SetCallbackFn
ompt_set_error	Error
ompt_set_never	Never
ompt_set_result_t	SetResultFn
ompt_set_sometimes	Sometimes
ompt_set_sometimes_paired	SometimesPaired
ompt_start_tool	start_tool
ompt_start_tool_result_t	StartToolResult
ompt_sync_region_barrier	Barrier
ompt_sync_region_kind_t	SyncRegionKind
ompt_sync_region_taskgroup	Taskgroup
ompt_sync_region_taskwait	Taskwait
ompt_target	Target
ompt_target_data_alloc	TargetDataAlloc
ompt_target_data_delete	TargetDataDelete
ompt_target_data_op_t	TargetDataOp
ompt_target_data_transfer_from_dev	TargetDataTransferFromDev
ompt_target_data_transfer_to_dev	TargetDataTransferToDev
ompt_target_enter_data	TargetEnterData
ompt_target_exit_data	TargetExitData
ompt_target_type_t	TargetType
ompt_target_update	Update
ompt_task_cancel	TaskCancel
ompt_task_complete	TaskComplete
ompt_task_dependence_flag_t	TaskDependenceFlag
ompt_task_dependence_t	TaskDependence
ompt_task_dependence_type_in	In
ompt_task_dependence_type_inout	Inout
ompt_task_dependence_type_out	Out
ompt_task_explicit	Explicit
ompt_task_final	Final
ompt_task_implicit	Implicit
ompt_task_initial	Initial
ompt_task_mergeable	Mergeable
ompt_task_merged	Merged
ompt_task_others	Others
ompt_task_status_t	TaskStatus
ompt_task_target	Target
ompt_task_type_t	TaskType
ompt_task_undeferred	Undeferred
ompt_task_untied	Untied
ompt_task_yield	Yield
ompt_thread_initial	ThreadInitial
ompt_thread_other	ThreadOther
ompt_thread_type_t	ThreadType
ompt_thread_unknown	ThreadUnknown
ompt_thread_worker	ThreadWorker
ompt_wait_callback_t	WaitCallback
ompt_work_distribute	Distribute
ompt_work_loop	Loop
ompt_work_sections	Sections
ompt_work_single_executor	SingleExecutor
ompt_work_single_other	SingleOther
ompt_work_taskloop	Taskloop
ompt_work_type_t	WorkType
ompt_work_workshare	Workshare
omp_frame_t	OmpFrame
omp_state_idle	Idle
omp_state_overhead	Overhead
omp_state_t	OmpState
omp_state_undefined	Undefined
omp_state_wait_atomic	WaitAtomic
omp_state_wait_barrier	WaitBarrier
omp_state_wait_barrier_explicit	WaitBarrierExplicit
omp_state_wait_barrier_implicit	WaitBarrierImplicit
omp_state_wait_barrier_implicit_parallel	WaitBarrierImplicitParallel
omp_state_wait_barrier_implicit_workshare	WaitBarrierImplicitWorkshare
omp_state_wait_critical	WaitCritical
omp_state_wait_lock	WaitLock
omp_state_wait_mutex	WaitMutex
omp_state_wait_ordered	WaitOrdered
omp_state_wait_target	WaitTarget
omp_state_wait_target_map	WaitTargetMap
omp_state_wait_target_update	WaitTargetUpdate
omp_state_wait_taskgroup	WaitTaskgroup
omp_state_wait_taskwait	WaitTaskwait
omp_state_work_parallel	WorkParallel
omp_state_work_reduction	WorkReduction
omp_state_work_serial	WorkSerial
omp_version	OmpVersion
omp_wait_id_none	OMP_WAIT_ID_NONE
omp_wait_id_t	OmpWaitId
